Klarna,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Klarna+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Ledger,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Ledger+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Ada,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Ada+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Celonis,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Celonis+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
ApplyBoard,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=ApplyBoard+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Carro,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Carro+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
BrowserStack,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=BrowserStack+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Tokopedia,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Tokopedia+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Templafy,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Templafy+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Bright%20Star%20Studios,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Bright%20Star%20Studios+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Clip,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Clip+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Contentsquare,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Contentsquare+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Nium,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Nium+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Northvolt,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Northvolt+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Ada%20Health,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Ada%20Health+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
PropertyGuru%20Group,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=PropertyGuru%20Group+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Tink,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Tink+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Nubank,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Nubank+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Wealthsimple,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Wealthsimple+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Bolt,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Bolt+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Moglix,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Moglix+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
uberall,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=uberall+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Krafton,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Krafton+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Bukalapak,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Bukalapak+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
EBANX,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=EBANX+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
TIER%20Mobility,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=TIER%20Mobility+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Foodpanda,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Foodpanda+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Scalable%20Capital,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Scalable%20Capital+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Belvo,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Belvo+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Trade%20Republic,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Trade%20Republic+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Tenstorrent,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Tenstorrent+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Deezer,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Deezer+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
PISIQ,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=PISIQ+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
Shift%20Technology,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=Shift%20Technology+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
FlixBus,"https://www.google.com/search?as_st=y&tbm=isch&hl=en&as_q=FlixBus+startup&as_epq=&as_oq=&as_eq=logo&cr=&as_sitesearch=&safe=images&tbs=isz:lt,islt:qsvga,iar:w",
